image_name|comment;
1267711451.jpg| a dog holds a stick in its mouth .;
127488876.jpg| One man in red shirt and black pants with a man in white shirt and tan shorts , golfing .;
127488876.jpg| Two golfers are standing on the fairway looking off into the distance .;
127488876.jpg| Two golfers look off into the distance with hands blocking the sun .;
127488876.jpg| Tree in the foreground , two men playing golf in the background .;
127488876.jpg| Two men looking into the distance on a golf course .;
127644661.jpg| A woman in a lavender sleeveless top and a nose ring is laughing while covering the eyes of another woman wearing a yellow striped shirt with her hands .;
127644661.jpg| A woman is covering the eyes of another woman and both women are laughing .;
127644661.jpg| A young lady is leading her friend to a surprise by covering their eyes .;
127644661.jpg| A woman in a red dress covers another woman 's eyes .;
127644661.jpg| A laughing woman covering the eyes of a man .;
1285874746.jpg| The back of a lady wearing a blue halter top is shown , a crowd in the distance .;
1285874746.jpg| A dark-skinned woman in a blue dress is standing near a crowd .;
1285874746.jpg| A girl in a blue dress walks through a crowd of people .;
1285874746.jpg| a african-american woman stands in the crowd .;
1285874746.jpg| A woman in a blue dress stands in a crowd .;
1287064529.jpg| A Husky dog wearing green straps is turning its head away from the object in front of it .;
1287064529.jpg| A dog wearing a blue harness stands in the snow and pants .;
1287064529.jpg| A Brown furry husky dog sticking out his tongue .;
1287064529.jpg| A husky dog wearing the gear to pull a sled .;
1287064529.jpg| A black and tan dog in the snow;
1288909046.jpg| A dog takes a leap of faith as he jumps into a pool to grab an orange toy .;
1288909046.jpg| A brown , fluffy dog jumping into a swimming pool after a red toy .;
1288909046.jpg| a brown dog is leaping into a garden swimming pool .;
1288909046.jpg| A dog jumps into a swimming pool after a toy .;
1288909046.jpg| A brown dog leaps into a swimming pool .;
1296395998.jpg| Employees at a sushi restaurant prepare for dinner time rush .;
1296395998.jpg| Two asian men looking down on the floor by a food buffet .;
1296395998.jpg| An Asian food market where a woman is picking out food .;
1296395998.jpg| Numerous Asian people working behind a counter .;
1296395998.jpg| These people are cooking lots of food .;
1296740217.jpg| A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .;
1296740217.jpg| A boy in swim trunks does a backflip into the ocean while mountains show through the fog behind him .;
1296740217.jpg| A young boy performs a backflip off a cliff , into the sea .;
1296740217.jpg| A man jumps into the water on a sunny day .;
1296740217.jpg| A young male jumping into the water .;
1301532463.jpg| a transportation vehicle is carrying a crowd of people who are sitting and standing .;
1301532463.jpg| Several people including a woman with a yellow purse are riding a crowded train .;
1301532463.jpg| Commuters on a train in Asia wait to arrive at their stop .;
1301532463.jpg| Two women on a subway talking while standing .;
1301532463.jpg| People on a crowded train or bus in Asia .;
1312227131.jpg| A group of dogs is pulling a sled over snow as the sun sets .;
1312227131.jpg| Sled dogs trekking through snow near a forest .;
1312227131.jpg| Dogs are pulling a sled across the snow .;
1312227131.jpg| dogs running on a cold but sunny morning;
1312227131.jpg| Two dogs walk through the snow .;
131254736.jpg| Two men near railroad tracks with a caboose coming by .;
131254736.jpg| Two men are standing beside the train tracks .;
131254736.jpg| A railroad worker is checking the tracks .;
131254736.jpg| Two men in orange work on train tracks .;
131254736.jpg| Two men are working on train tracks .;
1328655944.jpg| The man is dancing with a doll wearing a red dress and heels .;
1328655944.jpg| A man performing a dancing act surrounded by people .;
1328655944.jpg| A pair of dancers perform on a red brick street .;
1328655944.jpg| A man and a woman dancing in the street .;
1328655944.jpg| A couple dances in the street .;
13301546.jpg| A man wearing jeans swings back his arm in preparation to release the bowling ball down the lane .;
13301546.jpg| A man in a bowling alley getting ready to throw the bowling ball down the lane .;
13301546.jpg| A man in blue jeans and a long-sleeved blue shirt bowling .;
13301546.jpg| A person is bowling in this blurry action shot .;
13301546.jpg| A bowler winding up for the toss .;
13327175.jpg| A man , wearing a red sash and white shirt , walks a pig with a long piece of rope;
13327175.jpg| A man is walking a pig on a rope leash down a dirt road .;
13327175.jpg| A man is holding a rope which is tied to a pig .;
13327175.jpg| A farmer walks his pet pig down the dirt road .;
13327175.jpg| A man walking a pig on a dirt road .;
1332815795.jpg| a young baby girl wearing a white outfit swinging in a baby swing;
1332815795.jpg| A little girl is swinging in a baby swing on the playground .;
1332815795.jpg| A baby swings in a swing near a wooden fence .;
1332815795.jpg| A baby wearing all white swinging on a swing .;
1332815795.jpg| A little girl rides in a child 's swing .;
134201079.jpg| A man wearing a Get A Job t-shirt takes a picture of the camera holder with a bright yellow camera while also holding a photo in his left hand .;
134201079.jpg| A man wearing an orange shirt takes a photograph;
134201079.jpg| A man in an orange shirt is taking a picture .;
134201079.jpg| A man taking a photograph , holding a postcard;
134201079.jpg| A person holding a yellow camera .;
1349427689.jpg| A young man in a small motor boat is emptying out a container of water into the lake .;
1349427689.jpg| A boy in a blue boat tied to a larger boat dumps out a bucket of water .;
1349427689.jpg| A young boy pours water from a container while standing on a boat .;
1349427689.jpg| The child with the pitcher is draining the water out of the boat .;
1349427689.jpg| A young male dumps the extra water out of his small motorboat .;
1350948838.jpg| Black and white dog leaps away from camera into pool .;
1350948838.jpg| A black and white dog jumping into a swimming pool .;
1350948838.jpg| A wet black dog jumps into a pool to fetch a ball .;
1350948838.jpg| A black and white dog jumping into a pool .;
1350948838.jpg| A black dog jumping into a large pool .;
135235570.jpg| A man tries to catch a football on grass surrounded by American flags .;
135235570.jpg| A man is being thrown a Frisbee in front of a monument and flags .;
135235570.jpg| A man is clapping at the base of the Washington Memorial .;
135235570.jpg| A man in a field backed by american flags .;
135235570.jpg| A man stands in front of the Gateway Arch .;
1360456780.jpg| A woman with shiny decorations in her hair is waving around purple , blue , and orange scarves .;
1360456780.jpg| A woman wearing a metallic headdress and costume is swirling colorful scarves around herself .;
1360456780.jpg| A woman is celebrating festivities , wearing colorful clothing , and walking elegantly .;
1360456780.jpg| A woman wearing very formal colorful clothing and she seems to be dancing .;
1360456780.jpg| Beautiful brunette woman , draped in purple , blue and a scarlet scarves .;
136399365.jpg| A man in a blue shirt is walking and talking on the phone .;
136399365.jpg| A man paint spattered clothing talks on a mobile phone .;
136399365.jpg| An elderly street vendor is talking on his cellphone .;
136399365.jpg| A black man steps over a bazaar .;
136399365.jpg| Craft vendor on a cellphone .;
136639119.jpg| A climber is attempting to climb around an overhang above the woods .;
136639119.jpg| A man climbs up a cliff and reaches an overhang .;
136639119.jpg| A man is rock climbing under a large cliff .;
136639119.jpg| Climber on rock formation using ropes .;
136639119.jpg| A person is rock climbing .;
1395173766.jpg| A large group of people look as if they are in a band , and they are practicing classical music with guitars , violins , and cellos .;
1395173766.jpg| A group of women dressed in black playing musical instruments in front of a large building .;
1395173766.jpg| A group of women wearing all black uniforms play various stringed instruments .;
1395173766.jpg| A group of people holding music instruments .;
1395173766.jpg| A music group is playing music outdoors .;
1396064003.jpg| A wakeboarder performs a flip while being towed at high speed .;
1396064003.jpg| an upside down man doing a flip on a waterski board;
1396064003.jpg| A person did a side flip while water boarding .;
1396064003.jpg| A man hangs upside in the air over the water .;
1396064003.jpg| A person upside down on a water board .;
1397344877.jpg| Four police officers are swallowed up by the large crowd of people on the street .;
1397344877.jpg| A large crowd of people walking while being controlled by officers among them .;
1397344877.jpg| A large crowd of people are walking down the street .;
1397344877.jpg| A large group of people fill a street .;
1397344877.jpg| A large crowd of people are walking .;
1397887419.jpg| The light brown dog and dark brown dog are running in the green grass .;
1397887419.jpg| A brown dog chases a blond one in the grass .;
1397887419.jpg| One dog chases another on the green grass .;
1397887419.jpg| Two brown dogs are running on the grass .;
1397887419.jpg| The dogs are running through the yard .;
1400424834.jpg| A tall , thin , brunette girl wearing combat boots standing on a sidewalk .;
1400424834.jpg| A lady dressed in shades of black waits on the sidewalk for a train .;
1400424834.jpg| Woman in zebra print top and tight jeans standing on a curb .;
1400424834.jpg| A skinny girl in large boots is standing by the roadside .;
1400424834.jpg| A woman standing by a wire fence on a sidewalk .;
1406296515.jpg| Many people are sitting outside the leaning tower of Piza , one girl dressed in green is facing the camera and eating a sandwich .;
1406296515.jpg| A woman is laying in the grass eating something outside the leaning tower of pizza .;
1406296515.jpg| A girl lays in the grass in front of the Leaning Tower of Pisa in Italy .;
1406296515.jpg| A woman laying down in the grass in front of the leaning tower of Pisa .;
1406296515.jpg| A woman enjoying a meal at the leaning tower of pisa .;
1408958345.jpg| A little girl in a flower swimsuit running across the beach with waves in the background .;
1408958345.jpg| a little girl in a flowered bathingsuit runs through the sand at the beach;
1408958345.jpg| A girl smiles as she runs across the white sandy beach in her swimsuit .;
1408958345.jpg| There is a little girl running on the beach .;
1408958345.jpg| The young girl is running on a sandy beach .;
1409731198.jpg| Many people are gathered under a large white tent for an event .;
1409731198.jpg| A group of people are gathered under a large outdoor tent .;
1409731198.jpg| A large amount of people at an outdoor festival .;
1409731198.jpg| People at an affair outside under a tent .;
1409731198.jpg| People under a tent at a reception .;
141186473.jpg| An Asian woman sitting on a bench going through a pink laptop bag .;
141186473.jpg| An Asian woman poses on a bench with shopping bags .;
141186473.jpg| A woman in a blue blouse is handling a pink purse .;
141186473.jpg| A young women in a blue shirt sitting on a bench .;
141186473.jpg| A woman with a pink purse is sitting on a bench .;
1414779054.jpg| A boy plays with outstretched arms on the sidewalk next to a cobblestone street .;
1414779054.jpg| A boy wearing a blue t-shirt is jumping up in the air on a city street .;
1414779054.jpg| A young boy wearing blue jumps off of a cement sidewalk .;
1414779054.jpg| A boy with his arms stretched out to his left .;
1414779054.jpg| A boy jumping off of a cement block .;
14264287.jpg| A young boy with flour on his nose and cheeks is dressed in overalls and an apron has his hands in a bowl while he smiles for the camera .;
14264287.jpg| A young boy with flower on his face mixes dough in a striped shirt , overalls and an apron .;
14264287.jpg| A young child working in the kitchen has powder all over his face .;
14264287.jpg| A little boy standing up with his hands in a bowl .;
14264287.jpg| Little boy with flour on his face .;
143263604.jpg| Several people sit in on blankets in a park with blooming pink cherry blossoms .;
143263604.jpg| A group of women lounge on towels on beautiful green grass on a sunny day .;
143263604.jpg| A group of girls sitting on blankets in a park area reading books .;
143263604.jpg| People enjoy picnics in park on nice warm day .;
143263604.jpg| Four people are lounging in a park .;
144429279.jpg| A middle-aged man and woman are holding hands walking in a street with people behind them .;
144429279.jpg| A couple holding hands while walking together down the street .;
144429279.jpg| A man and his wife walking hand in hand down the street .;
144429279.jpg| Couple holds hands walking down sidewalk .;
144429279.jpg| a couple walking outside of houses;
145754126.jpg| The shoeshine man , who shines shoes for a living , is shinning the black leather shoes of a man in nice dress pants .;
145754126.jpg| A man wearing camouflage shorts and a white t-shirt shines the black dress shoes of a man wearing black dress slacks .;
145754126.jpg| A man in camouflaged shorts , and a white t-shirt shines , another man 's black shoes on a sidewalk .;
145754126.jpg| The man in the black hat is shining the businessman 's suit .;
1461653394.jpg| The black dog and the white dog seem to be getting ready to fight .;
1461653394.jpg| A white dog snarls at a black dog in front of a set of steps .;
1461653394.jpg| A large white dog growling at a large black dog .;
1461653394.jpg| A white and black dog wrestle together .;
1461653394.jpg| A white dog bites at a black dog .;
1464120327.jpg| A young boy in a blue shirt presses against the glass for a better look at desserts .;
1464120327.jpg| A little boy puts his face up to the uniquely-shaped window .;
1464120327.jpg| A little boy stands up next to a window and cries .;
1464120327.jpg| Little boy peering into a glass display case .;
1464120327.jpg| A little boy presses his face a window .;
1465666502.jpg| The black dog emerges from the water having collected an object in his teeth .;
1465666502.jpg| a black dog wearing a red collar is dragging a rope though a river .;
1465666502.jpg| A black dog is swimming in green water with something in its mouth .;
1465666502.jpg| A black dog with a red collar retrieving a stick from deep water .;
1465666502.jpg| A black dog playing in a river .;
146684257.jpg| A man with blond-hair in a ponytail is reading a map in a boat on a river .;
146684257.jpg| A man wearing a life jacket uses a map while on a small boat .;
146684257.jpg| A blond man is holding a map while sitting in a boat .;
146684257.jpg| A man holding a map while rafting .;
146684257.jpg| A man sits in a boat on a lake .;
146779920.jpg| A man in a white shirt and glasses is playing the guitar and sitting next to a woman also dressed in white .;
146779920.jpg| An asian man is playing guitar while a woman is sitting on a couch .;
146779920.jpg| A man in white shirt play guitar to a woman in a white shirt .;
146779920.jpg| A man is playing a guitar while sitting beside a woman .;
146779920.jpg| A man singing and playing guitar for a woman .;
1469000260.jpg| Brown dog laying on gravel with grass and trees in background .;
1469000260.jpg| The large brown dog is sitting on the path next to a tree .;
1469000260.jpg| A big tan dog lays on the ground looking to the side .;
1469000260.jpg| A large tan dog sits on the edge of the woods .;
1469000260.jpg| A large dog sits in the grass .;
147236031.jpg| An Asian woman cutting the stems of a green leafy vegetable at a market .;
147236031.jpg| An Asian woman is looking at the camera while trimming asparagus .;
147236031.jpg| Woman in a white top and green pants handling green vegetables .;
147236031.jpg| An Asian person is cutting the stems off of leeks .;
147236031.jpg| A woman picks greens inside of a grocery store .;
1482376928.jpg| A man in a yellow shirt is digging in a cave , while a man in a white shirt watches .;
1482376928.jpg| Two men stand in a dirt tunnel ; one digs further with a shovel .
1482376928.jpg| Two men are underground and appear to be mining .;
1482376928.jpg| A man with a pick axe digging a tunnel .;
1482376928.jpg| Two men dig in a cave .;
148284.jpg| A man wearing a yellow shirt and black apron is standing in front of an information booth with some newspapers .;
148284.jpg| An elderly African-American man in a yellow shirt is standing in front of an information stand .;
148284.jpg| A man selling or delivering newspapers stands in front of a Spanish-language information sign .;
148284.jpg| A man with a newspaper cart is standing in front of an information sign .;
148284.jpg| A man in a yellow shirt and black apron delivering newspapers .;
1483574454.jpg| Two asian children working on bicycles at a shop in front of their mother .;
1483574454.jpg| A man in front of an Asian shop of some sort working on a bicycle .;
1483574454.jpg| One man checks out a bicycle in a shop while another sits nearby .;
1483574454.jpg| man in orange shirt squatting and working on black bicycle .;
1483574454.jpg| Two people working on bicycles .;
1501438486.jpg| A football player in a red jersey is tackling a football player in a white jersey who is attempting to throw the ball .;
1501438486.jpg| A quarterback , in the statue of liberty position , is being held onto by an opposing player from behind .;
1501438486.jpg| One football player tackles his opponent as bystanders watch from the sidelines .;
1501438486.jpg| A football player attempting a pass while being tackled by another player .;
1501438486.jpg| Football players on a field , one player is being tackled by the other .;
1535963458.jpg| This group is doing their best to try and enjoy the new hospital orientation .;
1535963458.jpg| A woman is giving a presentation to a group of people sitting in chairs .;
1535963458.jpg| A teacher showing her students something on a projector screen .;
1535963458.jpg| A lady is giving a presentation to an all-female class .;
1535963458.jpg| A large class is taught to indian women .;
1538738682.jpg| A child is sleeping in the front passenger seat of a car with the window slightly open .;
1538738682.jpg| A child sleeps viewed through a window of a car which is cracked slightly .;
1538738682.jpg| A young child is sleeping inside a vehicle that is parked outside .;
1538738682.jpg| A child asleep in a car with the window open;
